249.64	17.64 	42	16.82 	158	176	60	160.30 	161.27 	168.75 	F
252.81	21.16 	46	18.20 	159	160	72	182.67 	174.44 	153.37 	F
289	25.00 	50	17.30 	170	167	70	198.68 	170.79 	176.13 	F
278.89	26.01 	51	18.29 	167	155	65	170.13 	167.75 	154.12 	F
285.61	39.69 	63	22.06 	169	158	50	183.80 	161.80 	194.40 	F
272.25	40.32 	63.5	23.32 	165	200	61	183.14 	167.96 	174.78 	F
282.24	26.01 	51	18.07 	168	166	50	158.66 	168.01 	159.04 	F
240.25	25.00 	50	20.81 	155	168	60	173.96 	174.45 	187.03 	F
265.69	24.01 	49	18.44 	163	165	51	176.89 	167.72 	186.91 	F
275.56	30.25 	55	19.96 	166	162	75	161.13 	176.92 	204.48 	F
265.69	18.49 	43	16.18 	163	177	61	190.24 	169.96 	190.74 	F
252.81	25.00 	50	19.78 	159	175	62	166.79 	167.52 	162.86 	F
240.25	21.16 	46	19.15 	155	178	45	165.11 	168.48 	182.38 	F
275.56	29.16 	54	19.60 	166	165	51	164.62 	176.10 	171.55 	F
265.69	33.64 	58	21.83 	163	160	66	167.94 	170.03 	161.61 	F
275.56	25.00 	50	18.14 	166	175	63	167.47 	173.09 	171.74 	F
306.25	30.25 	55	17.96 	175	160	59	178.78 	167.73 	170.54 	F
256	23.04 	48	18.75 	160	165	52	171.73 	164.64 	159.42 	F
320.41	33.64 	58	18.10 	179	160	60	180.29 	167.21 	188.00 	F
282.24	30.25 	55	19.49 	168	172	62	172.71 	173.28 	175.43 	F
265.69	25.00 	50	18.82 	163	166	44	196.40 	170.60 	156.06 	F
265.69	22.09 	47	17.69 	163	160	50	178.76 	162.35 	197.06 	F
259.21	29.16 	54	20.83 	161	175	60	162.09 	176.58 	174.42 	F
268.96	30.25 	55	20.45 	164	165	50	181.65 	168.84 	203.27 	F
272.25	28.09 	53	19.47 	165	161	50	143.20 	174.73 	160.88 	F
259.21	25.00 	50	19.29 	161	185	65	172.91 	171.58 	202.68 	F
256	24.01 	49	19.14 	160	155	65	171.53 	166.18 	169.10 	F
249.64	25.00 	50	20.03 	158	180	52	179.87 	158.49 	187.99 	F
249.64	25.00 	50	20.03 	158	168	65	171.89 	176.99 	186.51 	F
256	24.01 	49	19.14 	160	175	70	177.18 	178.64 	176.33 	F
289	29.16 	54	18.69 	170	170	63	174.64 	172.74 	184.51 	F
252.81	22.56 	47.5	18.79 	159	174	78	174.11 	158.48 	188.70 	F
282.24	28.09 	53	18.78 	168	168	43	176.79 	162.84 	198.54 	F
262.44	30.25 	55	20.96 	162	170	50	179.67 	177.12 	189.79 	F
256	25.00 	50	19.53 	160	170	62.5	151.55 	175.19 	180.34 	F
292.41	34.81 	59	20.18 	171	180	78	174.16 	176.63 	203.38 	F
278.89	20.25 	45	16.14 	167	185	70	158.95 	167.22 	172.68 	F
265.69	28.09 	53	19.95 	163	163	46	167.93 	171.48 	186.09 	F
282.24	21.16 	46	16.30 	168	178	75	166.82 	178.38 	174.86 	F
278.89	25.00 	50	17.93 	167	176	48	164.85 	155.03 	186.34 	F
249.64	24.01 	49	19.63 	158	162	76	175.85 	173.19 	152.54 	F
249.64	44.89 	67	26.84 	158	176	52	171.21 	161.70 	171.59 	F
275.56	25.00 	50	18.14 	166	161	54	165.36 	171.59 	153.12 	F
278.89	22.09 	47	16.85 	167	180	55	161.31 	173.01 	171.20 	F
265.69	23.04 	48	18.07 	163	176	48	166.31 	174.27 	170.04 	F
262.44	19.36 	44	16.77 	162	172	58	163.95 	174.58 	161.42 	F
262.44	27.04 	52	19.81 	162	184	68	163.12 	174.33 	197.69 	F
265.69	24.01 	49	18.44 	163	158	58	157.07 	174.08 	204.78 	F
268.96	27.04 	52	19.33 	164	184	70	163.04 	178.21 	148.19 	F
265.69	26.01 	51	19.20 	163	156	75	171.89 	165.96 	186.05 	F
275.56	30.25 	55	19.96 	166	176	49	168.48 	169.96 	166.15 	F
262.44	27.04 	52	19.81 	162	162	68	170.85 	170.83 	184.24 	F
282.24	24.01 	49	17.36 	168	178	70	174.32 	167.42 	150.04 	F
275.56	25.00 	50	18.14 	166	172	78	178.90 	164.72 	177.92 	F
